Gene stable ID,Transcript stable ID,Gene description,Gene name,Transcript name
ENSMUSG00000099638,ENSMUST00000186248,predicted gene 28279 [Source:MGI Symbol;Acc:MGI:5578985],Gm28279,Gm28279-201
ENSMUSG00000099638,ENSMUST00000188233,predicted gene 28279 [Source:MGI Symbol;Acc:MGI:5578985],Gm28279,Gm28279-202
ENSMUSG00000094181,ENSMUST00000188917,"predicted gene, 21739 [Source:MGI Symbol;Acc:MGI:5433903]",Gm21739,Gm21739-201
ENSMUSG00000094181,ENSMUST00000249300,"predicted gene, 21739 [Source:MGI Symbol;Acc:MGI:5433903]",Gm21739,Gm21739-202
ENSMUSG00000094782,ENSMUST00000188881,"predicted gene, 21256 [Source:MGI Symbol;Acc:MGI:5434611]",Gm21256,Gm21256-201
ENSMUSG00000094782,ENSMUST00000249301,"predicted gene, 21256 [Source:MGI Symbol;Acc:MGI:5434611]",Gm21256,Gm21256-202
ENSMUSG00000095011,ENSMUST00000187712,"predicted gene, 20838 [Source:MGI Symbol;Acc:MGI:5434194]",Gm20838,Gm20838-201
ENSMUSG00000095011,ENSMUST00000249302,"predicted gene, 20838 [Source:MGI Symbol;Acc:MGI:5434194]",Gm20838,Gm20838-202
ENSMUSG00000101110,ENSMUST00000186686,predicted gene 28890 [Source:MGI Symbol;Acc:MGI:5579596],Gm28890,Gm28890-201
ENSMUSG00000095141,ENSMUST00000189333,predicted gene 28891 [Source:MGI Symbol;Acc:MGI:5579597],Gm28891,Gm28891-201
ENSMUSG00000095141,ENSMUST00000249303,predicted gene 28891 [Source:MGI Symbol;Acc:MGI:5579597],Gm28891,Gm28891-202
ENSMUSG00000096178,ENSMUST00000190558,"predicted gene, 20837 [Source:MGI Symbol;Acc:MGI:5434193]",Gm20837,Gm20837-202
ENSMUSG00000096178,ENSMUST00000178446,"predicted gene, 20837 [Source:MGI Symbol;Acc:MGI:5434193]",Gm20837,Gm20837-201
ENSMUSG00000100964,ENSMUST00000191044,predicted gene 29503 [Source:MGI Symbol;Acc:MGI:5580209],Gm29503,Gm29503-201
ENSMUSG00000096626,ENSMUST00000190806,"predicted gene, 21861 [Source:MGI Symbol;Acc:MGI:5434025]",Gm21861,Gm21861-201
ENSMUSG00000096626,ENSMUST00000249304,"predicted gene, 21861 [Source:MGI Symbol;Acc:MGI:5434025]",Gm21861,Gm21861-202
ENSMUSG00000099677,ENSMUST00000190153,"predicted gene, 21722 [Source:MGI Symbol;Acc:MGI:5433886]",Gm21722,Gm21722-201
ENSMUSG00000100925,ENSMUST00000189604,predicted gene 28898 [Source:MGI Symbol;Acc:MGI:5579604],Gm28898,Gm28898-201
ENSMUSG00000099740,ENSMUST00000185340,predicted gene 28897 [Source:MGI Symbol;Acc:MGI:5579603],Gm28897,Gm28897-201
ENSMUSG00000099740,ENSMUST00000249305,predicted gene 28897 [Source:MGI Symbol;Acc:MGI:5579603],Gm28897,Gm28897-202
ENSMUSG00000099792,ENSMUST00000185575,predicted gene 29564 [Source:MGI Symbol;Acc:MGI:5580270],Gm29564,Gm29564-201
ENSMUSG00000099792,ENSMUST00000249306,predicted gene 29564 [Source:MGI Symbol;Acc:MGI:5580270],Gm29564,Gm29564-202
ENSMUSG00000099925,ENSMUST00000187165,predicted gene 28827 [Source:MGI Symbol;Acc:MGI:5579533],Gm28827,Gm28827-201
ENSMUSG00000099925,ENSMUST00000249307,predicted gene 28827 [Source:MGI Symbol;Acc:MGI:5579533],Gm28827,Gm28827-202
ENSMUSG00000101528,ENSMUST00000189924,predicted gene 29110 [Source:MGI Symbol;Acc:MGI:5579816],Gm29110,Gm29110-201
ENSMUSG00000101528,ENSMUST00000249308,predicted gene 29110 [Source:MGI Symbol;Acc:MGI:5579816],Gm29110,Gm29110-202
ENSMUSG00000102262,ENSMUST00000194873,"predicted gene, 38107 [Source:MGI Symbol;Acc:MGI:5611335]",Gm38107,Gm38107-201
ENSMUSG00000103528,ENSMUST00000192521,"predicted gene, 31571 [Source:MGI Symbol;Acc:MGI:5590730]",Gm31571,Gm31571-201
ENSMUSG00000103528,ENSMUST00000249309,"predicted gene, 31571 [Source:MGI Symbol;Acc:MGI:5590730]",Gm31571,Gm31571-202
ENSMUSG00000102668,ENSMUST00000191675,"predicted gene, 29866 [Source:MGI Symbol;Acc:MGI:5589025]",Gm29866,Gm29866-201
ENSMUSG00000102668,ENSMUST00000249310,"predicted gene, 29866 [Source:MGI Symbol;Acc:MGI:5589025]",Gm29866,Gm29866-202
ENSMUSG00000104131,ENSMUST00000191738,"predicted gene, 36950 [Source:MGI Symbol;Acc:MGI:5610178]",Gm36950,Gm36950-201
ENSMUSG00000104131,ENSMUST00000193541,"predicted gene, 36950 [Source:MGI Symbol;Acc:MGI:5610178]",Gm36950,Gm36950-202
ENSMUSG00000104131,ENSMUST00000194878,"predicted gene, 36950 [Source:MGI Symbol;Acc:MGI:5610178]",Gm36950,Gm36950-203
ENSMUSG00000100731,ENSMUST00000191415,predicted gene 29523 [Source:MGI Symbol;Acc:MGI:5580229],Gm29523,Gm29523-201
ENSMUSG00000100074,ENSMUST00000190819,predicted gene 29524 [Source:MGI Symbol;Acc:MGI:5580230],Gm29524,Gm29524-201
ENSMUSG00000099676,ENSMUST00000186699,predicted gene 29528 [Source:MGI Symbol;Acc:MGI:5580234],Gm29528,Gm29528-201
ENSMUSG00000094813,ENSMUST00000187434,"predicted gene, 20777 [Source:MGI Symbol;Acc:MGI:5434133]",Gm20777,Gm20777-201
ENSMUSG00000099482,ENSMUST00000188167,predicted gene 28955 [Source:MGI Symbol;Acc:MGI:5579661],Gm28955,Gm28955-201
ENSMUSG00000099776,ENSMUST00000190031,predicted gene 28954 [Source:MGI Symbol;Acc:MGI:5579660],Gm28954,Gm28954-201
ENSMUSG00000101396,ENSMUST00000190572,predicted gene 28510 [Source:MGI Symbol;Acc:MGI:5579216],Gm28510,Gm28510-201
ENSMUSG00000100995,ENSMUST00000189844,predicted gene 29525 [Source:MGI Symbol;Acc:MGI:5580231],Gm29525,Gm29525-201
ENSMUSG00000100273,ENSMUST00000187217,predicted gene 29526 [Source:MGI Symbol;Acc:MGI:5580232],Gm29526,Gm29526-201
ENSMUSG00000095950,ENSMUST00000187245,"predicted gene, 20737 [Source:MGI Symbol;Acc:MGI:5434093]",Gm20737,Gm20737-201
ENSMUSG00000118472,ENSMUST00000238556,"predicted gene, 21775 [Source:MGI Symbol;Acc:MGI:5433939]",Gm21775,Gm21775-201
ENSMUSG00000118422,ENSMUST00000238509,"predicted gene, 21900 [Source:MGI Symbol;Acc:MGI:5434064]",Gm21900,Gm21900-201
ENSMUSG00000100369,ENSMUST00000190722,predicted gene 29527 [Source:MGI Symbol;Acc:MGI:5580233],Gm29527,Gm29527-201
ENSMUSG00000075359,ENSMUST00000100115,"predicted gene, 20775 [Source:MGI Symbol;Acc:MGI:5434131]",Gm20775,Gm20775-201
ENSMUSG00000099668,ENSMUST00000191530,predicted gene 29522 [Source:MGI Symbol;Acc:MGI:5580228],Gm29522,Gm29522-201
ENSMUSG00000100289,ENSMUST00000187294,predicted gene 28917 [Source:MGI Symbol;Acc:MGI:5579623],Gm28917,Gm28917-201
ENSMUSG00000101243,ENSMUST00000190026,predicted gene 28919 [Source:MGI Symbol;Acc:MGI:5579625],Gm28919,Gm28919-201
ENSMUSG00000079806,ENSMUST00000189073,"predicted gene, 21719 [Source:MGI Symbol;Acc:MGI:5433883]",Gm21719,Gm21719-201
ENSMUSG00000100479,ENSMUST00000190219,predicted gene 28921 [Source:MGI Symbol;Acc:MGI:5579627],Gm28921,Gm28921-201
ENSMUSG00000099352,ENSMUST00000189957,predicted gene 28920 [Source:MGI Symbol;Acc:MGI:5579626],Gm28920,Gm28920-201
ENSMUSG00000101388,ENSMUST00000190777,predicted gene 28444 [Source:MGI Symbol;Acc:MGI:5579150],Gm28444,Gm28444-201
ENSMUSG00000100634,ENSMUST00000190100,predicted gene 28171 [Source:MGI Symbol;Acc:MGI:5578877],Gm28171,Gm28171-201
ENSMUSG00000100056,ENSMUST00000191190,predicted gene 28173 [Source:MGI Symbol;Acc:MGI:5578879],Gm28173,Gm28173-201
ENSMUSG00000102338,ENSMUST00000193670,"predicted gene, 37236 [Source:MGI Symbol;Acc:MGI:5610464]",Gm37236,Gm37236-201
ENSMUSG00000101291,ENSMUST00000189250,predicted gene 29194 [Source:MGI Symbol;Acc:MGI:5579900],Gm29194,Gm29194-201
ENSMUSG00000096036,ENSMUST00000185926,"predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]",Gm21778,Gm21778-201
ENSMUSG00000102042,ENSMUST00000189038,predicted gene 29195 [Source:MGI Symbol;Acc:MGI:5579901],Gm29195,Gm29195-201
ENSMUSG00000100878,ENSMUST00000189239,predicted gene 29196 [Source:MGI Symbol;Acc:MGI:5579902],Gm29196,Gm29196-201
ENSMUSG00000099721,ENSMUST00000185496,predicted gene 28435 [Source:MGI Symbol;Acc:MGI:5579141],Gm28435,Gm28435-201
ENSMUSG00000101619,ENSMUST00000186307,predicted gene 28436 [Source:MGI Symbol;Acc:MGI:5579142],Gm28436,Gm28436-201
ENSMUSG00000100710,ENSMUST00000185922,predicted gene 29197 [Source:MGI Symbol;Acc:MGI:5579903],Gm29197,Gm29197-201
ENSMUSG00002075850,ENSMUST00020183034,"predicted gene, 54349 [Source:MGI Symbol;Acc:MGI:6845178]",Gm54349,Gm54349-201
ENSMUSG00000099761,ENSMUST00000186883,predicted gene 29158 [Source:MGI Symbol;Acc:MGI:5579864],Gm29158,Gm29158-201
ENSMUSG00000096706,ENSMUST00000190391,"predicted gene, 21854 [Source:MGI Symbol;Acc:MGI:5434018]",Gm21854,Gm21854-201
ENSMUSG00000101805,ENSMUST00000189034,predicted gene 28768 [Source:MGI Symbol;Acc:MGI:5579474],Gm28768,Gm28768-201
ENSMUSG00000101380,ENSMUST00000190176,predicted gene 28769 [Source:MGI Symbol;Acc:MGI:5579475],Gm28769,Gm28769-201
ENSMUSG00000096268,ENSMUST00000188887,"predicted gene, 20914 [Source:MGI Symbol;Acc:MGI:5434270]",Gm20914,Gm20914-202
ENSMUSG00000096268,ENSMUST00000180372,"predicted gene, 20914 [Source:MGI Symbol;Acc:MGI:5434270]",Gm20914,Gm20914-201
ENSMUSG00000094773,ENSMUST00000188908,"predicted gene, 21812 [Source:MGI Symbol;Acc:MGI:5433976]",Gm21812,Gm21812-202
ENSMUSG00000094773,ENSMUST00000179590,"predicted gene, 21812 [Source:MGI Symbol;Acc:MGI:5433976]",Gm21812,Gm21812-201
ENSMUSG00000099688,ENSMUST00000185723,predicted gene 29535 [Source:MGI Symbol;Acc:MGI:5580241],Gm29535,Gm29535-201
ENSMUSG00000101094,ENSMUST00000190403,predicted gene 29533 [Source:MGI Symbol;Acc:MGI:5580239],Gm29533,Gm29533-201
ENSMUSG00000101647,ENSMUST00000187328,predicted gene 29534 [Source:MGI Symbol;Acc:MGI:5580240],Gm29534,Gm29534-201
ENSMUSG00000096223,ENSMUST00000190315,"predicted gene, 21874 [Source:MGI Symbol;Acc:MGI:5434038]",Gm21874,Gm21874-201
ENSMUSG00000101737,ENSMUST00000188127,predicted gene 28849 [Source:MGI Symbol;Acc:MGI:5579555],Gm28849,Gm28849-201
ENSMUSG00000100752,ENSMUST00000186778,predicted gene 28847 [Source:MGI Symbol;Acc:MGI:5579553],Gm28847,Gm28847-201
ENSMUSG00000100087,ENSMUST00000190767,predicted gene 29475 [Source:MGI Symbol;Acc:MGI:5580181],Gm29475,Gm29475-201
ENSMUSG00000094556,ENSMUST00000179829,"predicted gene, 20821 [Source:MGI Symbol;Acc:MGI:5434177]",Gm20821,Gm20821-201
ENSMUSG00000101913,ENSMUST00000188063,predicted gene 28999 [Source:MGI Symbol;Acc:MGI:5579705],Gm28999,Gm28999-201
ENSMUSG00000094484,ENSMUST00000189201,"predicted gene, 21244 [Source:MGI Symbol;Acc:MGI:5434599]",Gm21244,Gm21244-201
ENSMUSG00000100080,ENSMUST00000185289,predicted gene 29364 [Source:MGI Symbol;Acc:MGI:5580070],Gm29364,Gm29364-201
ENSMUSG00000101441,ENSMUST00000189365,predicted gene 29363 [Source:MGI Symbol;Acc:MGI:5580069],Gm29363,Gm29363-201
ENSMUSG00000091077,ENSMUST00000190329,"predicted gene, 21292 [Source:MGI Symbol;Acc:MGI:5434647]",Gm21292,Gm21292-201
ENSMUSG00000094679,ENSMUST00000189253,"predicted gene, 21721 [Source:MGI Symbol;Acc:MGI:5433885]",Gm21721,Gm21721-201
ENSMUSG00000100109,ENSMUST00000190481,predicted gene 29366 [Source:MGI Symbol;Acc:MGI:5580072],Gm29366,Gm29366-201
ENSMUSG00000100848,ENSMUST00000188077,predicted gene 29281 [Source:MGI Symbol;Acc:MGI:5579987],Gm29281,Gm29281-201
ENSMUSG00000100105,ENSMUST00000190032,predicted gene 29330 [Source:MGI Symbol;Acc:MGI:5580036],Gm29330,Gm29330-201
ENSMUSG00000096820,ENSMUST00000195626,"predicted gene, 21425 [Source:MGI Symbol;Acc:MGI:5434780]",Gm21425,Gm21425-201
ENSMUSG00000095900,ENSMUST00000193306,"predicted gene, 20773 [Source:MGI Symbol;Acc:MGI:5434129]",Gm20773,Gm20773-201
ENSMUSG00000101143,ENSMUST00000191536,"predicted gene, 21151 [Source:MGI Symbol;Acc:MGI:5434506]",Gm21151,Gm21151-201
ENSMUSG00000102005,ENSMUST00000189623,predicted gene 29409 [Source:MGI Symbol;Acc:MGI:5580115],Gm29409,Gm29409-202
ENSMUSG00000102005,ENSMUST00000187878,predicted gene 29409 [Source:MGI Symbol;Acc:MGI:5580115],Gm29409,Gm29409-201
ENSMUSG00000101491,ENSMUST00000191193,predicted gene 28632 [Source:MGI Symbol;Acc:MGI:5579338],Gm28632,Gm28632-202
ENSMUSG00000101491,ENSMUST00000189418,predicted gene 28632 [Source:MGI Symbol;Acc:MGI:5579338],Gm28632,Gm28632-201
ENSMUSG00000100624,ENSMUST00000187608,predicted gene 28101 [Source:MGI Symbol;Acc:MGI:5578807],Gm28101,Gm28101-201
ENSMUSG00000102388,ENSMUST00000195574,"predicted gene, 33815 [Source:MGI Symbol;Acc:MGI:5592974]",Gm33815,Gm33815-201
ENSMUSG00000102131,ENSMUST00000185838,"predicted gene, 21160 [Source:MGI Symbol;Acc:MGI:5434515]",Gm21160,Gm21160-201
ENSMUSG00000094699,ENSMUST00000179424,predicted gene 28637 [Source:MGI Symbol;Acc:MGI:5579343],Gm28637,Gm28637-201
ENSMUSG00000100659,ENSMUST00000186353,predicted gene 28636 [Source:MGI Symbol;Acc:MGI:5579342],Gm28636,Gm28636-201
ENSMUSG00000117541,ENSMUST00000234487,"predicted gene, 50048 [Source:MGI Symbol;Acc:MGI:6275358]",Gm50048,Gm50048-201
ENSMUSG00000118362,ENSMUST00000236653,"predicted gene, 19466 [Source:MGI Symbol;Acc:MGI:5011651]",Gm19466,Gm19466-202
ENSMUSG00000118362,ENSMUST00000235670,"predicted gene, 19466 [Source:MGI Symbol;Acc:MGI:5011651]",Gm19466,Gm19466-201
ENSMUSG00000047161,ENSMUST00000053017,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 [Source:MGI Symbol;Acc:MGI:1918617],Chst9,Chst9-201
ENSMUSG00000047161,ENSMUST00000130553,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 [Source:MGI Symbol;Acc:MGI:1918617],Chst9,Chst9-202
ENSMUSG00000058064,ENSMUST00000079733,predicted gene 10036 [Source:MGI Symbol;Acc:MGI:3642334],Gm10036,Gm10036-201
ENSMUSG00000089454,ENSMUST00000158829,"predicted gene, 24228 [Source:MGI Symbol;Acc:MGI:5454005]",Gm24228,Gm24228-201
ENSMUSG00000043223,ENSMUST00000155839,predicted pseudogene 4835 [Source:MGI Symbol;Acc:MGI:3648263],Gm4835,Gm4835-201
ENSMUSG00002076444,ENSMUST00020182531,"predicted gene, 54353 [Source:MGI Symbol;Acc:MGI:6845186]",Gm54353,Gm54353-201
ENSMUSG00000117532,ENSMUST00000234268,"predicted gene, 50076 [Source:MGI Symbol;Acc:MGI:6275403]",Gm50076,Gm50076-201
ENSMUSG00002076050,ENSMUST00020182890,"predicted gene, 54354 [Source:MGI Symbol;Acc:MGI:6845188]",Gm54354,Gm54354-201
ENSMUSG00000063628,ENSMUST00000076710,predicted pseudogene 7665 [Source:MGI Symbol;Acc:MGI:3645651],Gm7665,Gm7665-201
ENSMUSG00000024304,ENSMUST00000025166,cadherin 2 [Source:MGI Symbol;Acc:MGI:88355],Cdh2,Cdh2-201
ENSMUSG00000024304,ENSMUST00000152779,cadherin 2 [Source:MGI Symbol;Acc:MGI:88355],Cdh2,Cdh2-203
ENSMUSG00000024304,ENSMUST00000115850,cadherin 2 [Source:MGI Symbol;Acc:MGI:88355],Cdh2,Cdh2-202
ENSMUSG00000085575,ENSMUST00000149095,predicted gene 15485 [Source:MGI Symbol;Acc:MGI:3705269],Gm15485,Gm15485-201
ENSMUSG00000086095,ENSMUST00000209584,predicted gene 15328 [Source:MGI Symbol;Acc:MGI:3705182],Gm15328,Gm15328-202
ENSMUSG00000086095,ENSMUST00000210330,predicted gene 15328 [Source:MGI Symbol;Acc:MGI:3705182],Gm15328,Gm15328-204
ENSMUSG00000086095,ENSMUST00000210201,predicted gene 15328 [Source:MGI Symbol;Acc:MGI:3705182],Gm15328,Gm15328-203
ENSMUSG00000086095,ENSMUST00000211529,predicted gene 15328 [Source:MGI Symbol;Acc:MGI:3705182],Gm15328,Gm15328-205
ENSMUSG00000086095,ENSMUST00000144006,predicted gene 15328 [Source:MGI Symbol;Acc:MGI:3705182],Gm15328,Gm15328-201
ENSMUSG00000082608,ENSMUST00000121272,predicted gene 7670 [Source:MGI Symbol;Acc:MGI:3648912],Gm7670,Gm7670-201
ENSMUSG00000087170,ENSMUST00000147119,RIKEN cDNA 1700001G01 gene [Source:MGI Symbol;Acc:MGI:1922683],1700001G01Rik,1700001G01Rik-203
ENSMUSG00000087170,ENSMUST00000153022,RIKEN cDNA 1700001G01 gene [Source:MGI Symbol;Acc:MGI:1922683],1700001G01Rik,1700001G01Rik-204
ENSMUSG00000087170,ENSMUST00000125117,RIKEN cDNA 1700001G01 gene [Source:MGI Symbol;Acc:MGI:1922683],1700001G01Rik,1700001G01Rik-201
ENSMUSG00000087170,ENSMUST00000136956,RIKEN cDNA 1700001G01 gene [Source:MGI Symbol;Acc:MGI:1922683],1700001G01Rik,1700001G01Rik-202
ENSMUSG00000077305,ENSMUST00000104117,"predicted gene, 22470 [Source:MGI Symbol;Acc:MGI:5452247]",Gm22470,Gm22470-201
ENSMUSG00002076623,ENSMUST00020181994,"predicted gene, 54355 [Source:MGI Symbol;Acc:MGI:6845190]",Gm54355,Gm54355-201
ENSMUSG00000117460,ENSMUST00000234727,Riken cDNA 4921533I20 gene [Source:MGI Symbol;Acc:MGI:3613759],4921533I20Rik,4921533I20Rik-201
ENSMUSG00000117460,ENSMUST00000234739,Riken cDNA 4921533I20 gene [Source:MGI Symbol;Acc:MGI:3613759],4921533I20Rik,4921533I20Rik-202
ENSMUSG00000117615,ENSMUST00000234987,RIKEN cDNA 4930545E07 gene [Source:MGI Symbol;Acc:MGI:1922412],4930545E07Rik,4930545E07Rik-201
ENSMUSG00000117491,ENSMUST00000234842,"predicted gene, 50082 [Source:MGI Symbol;Acc:MGI:6275414]",Gm50082,Gm50082-201
ENSMUSG00000048799,ENSMUST00000049811,centrosomal protein 120 [Source:MGI Symbol;Acc:MGI:2147298],Cep120,Cep120-201
ENSMUSG00000048799,ENSMUST00000237062,centrosomal protein 120 [Source:MGI Symbol;Acc:MGI:2147298],Cep120,Cep120-203
ENSMUSG00000048799,ENSMUST00000237145,centrosomal protein 120 [Source:MGI Symbol;Acc:MGI:2147298],Cep120,Cep120-204
ENSMUSG00000048799,ENSMUST00000235928,centrosomal protein 120 [Source:MGI Symbol;Acc:MGI:2147298],Cep120,Cep120-202
ENSMUSG00000117439,ENSMUST00000234539,"predicted gene, 50083 [Source:MGI Symbol;Acc:MGI:6275415]",Gm50083,Gm50083-201
ENSMUSG00002076588,ENSMUST00020181878,"predicted gene, 54356 [Source:MGI Symbol;Acc:MGI:6845192]",Gm54356,Gm54356-201
ENSMUSG00000117574,ENSMUST00000234831,"predicted gene, 50084 [Source:MGI Symbol;Acc:MGI:6275416]",Gm50084,Gm50084-201
ENSMUSG00000117378,ENSMUST00000234128,"predicted gene, 31086 [Source:MGI Symbol;Acc:MGI:5590245]",Gm31086,Gm31086-201
ENSMUSG00000117636,ENSMUST00000234485,"predicted gene, 38432 [Source:MGI Symbol;Acc:MGI:5621317]",Gm38432,Gm38432-201
ENSMUSG00000117407,ENSMUST00000234553,predicted gene 7720 [Source:MGI Symbol;Acc:MGI:3647601],Gm7720,Gm7720-202
ENSMUSG00000117407,ENSMUST00000234168,predicted gene 7720 [Source:MGI Symbol;Acc:MGI:3647601],Gm7720,Gm7720-201
ENSMUSG00002075071,ENSMUST00020182576,"predicted gene, 54357 [Source:MGI Symbol;Acc:MGI:6845194]",Gm54357,Gm54357-201
ENSMUSG00002076979,ENSMUST00020183341,"predicted gene, 54358 [Source:MGI Symbol;Acc:MGI:6845196]",Gm54358,Gm54358-201
ENSMUSG00000073563,ENSMUST00000069597,"casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]",Csnk1g3,Csnk1g3-201
ENSMUSG00000073563,ENSMUST00000237880,"casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]",Csnk1g3,Csnk1g3-203
ENSMUSG00000073563,ENSMUST00000236399,"casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]",Csnk1g3,Csnk1g3-202
ENSMUSG00000069376,ENSMUST00000091897,predicted gene 5507 [Source:MGI Symbol;Acc:MGI:3648656],Gm5507,Gm5507-201
ENSMUSG00000117769,ENSMUST00000237377,predicted gene 8594 [Source:MGI Symbol;Acc:MGI:3643421],Gm8594,Gm8594-201
ENSMUSG00000117881,ENSMUST00000237842,"predicted gene, 50361 [Source:MGI Symbol;Acc:MGI:6303248]",Gm50361,Gm50361-201
ENSMUSG00000118103,ENSMUST00000237202,RIKEN cDNA 4933434P08 gene [Source:MGI Symbol;Acc:MGI:1918532],4933434P08Rik,4933434P08Rik-201
ENSMUSG00000118154,ENSMUST00000237954,RIKEN cDNA 9330117O12 gene [Source:MGI Symbol;Acc:MGI:5439411],9330117O12Rik,9330117O12Rik-201
ENSMUSG00000118307,ENSMUST00000235369,predicted gene 5821 [Source:MGI Symbol;Acc:MGI:3646289],Gm5821,Gm5821-201
ENSMUSG00000118120,ENSMUST00000236611,"predicted gene, 33732 [Source:MGI Symbol;Acc:MGI:5592891]",Gm33732,Gm33732-201
ENSMUSG00000117825,ENSMUST00000237299,"predicted gene, 50365 [Source:MGI Symbol;Acc:MGI:6303255]",Gm50365,Gm50365-201
ENSMUSG00000118063,ENSMUST00000236532,"predicted gene, 50366 [Source:MGI Symbol;Acc:MGI:6303256]",Gm50366,Gm50366-201
ENSMUSG00000059898,ENSMUST00000115848,desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993],Dsc3,Dsc3-201
ENSMUSG00000059898,ENSMUST00000225110,desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993],Dsc3,Dsc3-203
ENSMUSG00000059898,ENSMUST00000223946,desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993],Dsc3,Dsc3-202
ENSMUSG00000052713,ENSMUST00000064763,zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338],Zfp608,Zfp608-201
ENSMUSG00000052713,ENSMUST00000238150,zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338],Zfp608,Zfp608-204
ENSMUSG00000052713,ENSMUST00000237844,zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338],Zfp608,Zfp608-203
ENSMUSG00000052713,ENSMUST00000237009,zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338],Zfp608,Zfp608-202
ENSMUSG00000084521,ENSMUST00000122572,"predicted gene, 24183 [Source:MGI Symbol;Acc:MGI:5453960]",Gm24183,Gm24183-201
ENSMUSG00000117733,ENSMUST00000236306,"predicted gene, 54359 [Source:MGI Symbol;Acc:MGI:6845198]",Gm54359,Gm54359-201
ENSMUSG00000104521,ENSMUST00000195736,"predicted gene, 34073 [Source:MGI Symbol;Acc:MGI:5593232]",Gm34073,Gm34073-201
ENSMUSG00000088227,ENSMUST00000157602,"predicted gene, 22597 [Source:MGI Symbol;Acc:MGI:5452374]",Gm22597,Gm22597-201
ENSMUSG00000104455,ENSMUST00000192496,"predicted gene, 37828 [Source:MGI Symbol;Acc:MGI:5611056]",Gm37828,Gm37828-201
ENSMUSG00000103555,ENSMUST00000192601,"predicted gene, 37337 [Source:MGI Symbol;Acc:MGI:5610565]",Gm37337,Gm37337-201
ENSMUSG00000092702,ENSMUST00000174961,"predicted gene, 24514 [Source:MGI Symbol;Acc:MGI:5454291]",Gm24514,Gm24514-201
ENSMUSG00000098119,ENSMUST00000182376,"predicted gene, 26959 [Source:MGI Symbol;Acc:MGI:5504074]",Gm26959,Gm26959-201
ENSMUSG00000098007,ENSMUST00000182528,predicted gene 8614 [Source:MGI Symbol;Acc:MGI:3644907],Gm8614,Gm8614-201
ENSMUSG00000118348,ENSMUST00000235726,predicted gene 6942 [Source:MGI Symbol;Acc:MGI:3643094],Gm6942,Gm6942-201
ENSMUSG00000118141,ENSMUST00000235251,predicted gene 4230 [Source:MGI Symbol;Acc:MGI:3782406],Gm4230,Gm4230-201
ENSMUSG00002076978,ENSMUST00020182722,"predicted gene, 54360 [Source:MGI Symbol;Acc:MGI:6845200]",Gm54360,Gm54360-201
ENSMUSG00000098141,ENSMUST00000182449,predicted gene 6944 [Source:MGI Symbol;Acc:MGI:3645932],Gm6944,Gm6944-201
ENSMUSG00002075198,ENSMUST00020182187,"predicted gene, 54361 [Source:MGI Symbol;Acc:MGI:6845202]",Gm54361,Gm54361-201
ENSMUSG00000088440,ENSMUST00000157815,"predicted gene, 23555 [Source:MGI Symbol;Acc:MGI:5453332]",Gm23555,Gm23555-201
ENSMUSG00002075430,ENSMUST00020183223,"predicted gene, 54362 [Source:MGI Symbol;Acc:MGI:6845204]",Gm54362,Gm54362-201
ENSMUSG00000118137,ENSMUST00000236344,"predicted gene, 50385 [Source:MGI Symbol;Acc:MGI:6303286]",Gm50385,Gm50385-201
ENSMUSG00000117688,ENSMUST00000235993,predicted gene 8629 [Source:MGI Symbol;Acc:MGI:3646127],Gm8629,Gm8629-201
ENSMUSG00000001700,ENSMUST00000237355,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815],Gramd3,Gramd3-203
ENSMUSG00000001700,ENSMUST00000237422,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815],Gramd3,Gramd3-204
ENSMUSG00000001700,ENSMUST00000235794,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815],Gramd3,Gramd3-202
ENSMUSG00000001700,ENSMUST00000237716,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815],Gramd3,Gramd3-205
ENSMUSG00000001700,ENSMUST00000070166,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815],Gramd3,Gramd3-201
ENSMUSG00000024331,ENSMUST00000075214,desmocollin 2 [Source:MGI Symbol;Acc:MGI:103221],Dsc2,Dsc2-202
ENSMUSG00000024331,ENSMUST00000039247,desmocollin 2 [Source:MGI Symbol;Acc:MGI:103221],Dsc2,Dsc2-201
ENSMUSG00000024331,ENSMUST00000155407,desmocollin 2 [Source:MGI Symbol;Acc:MGI:103221],Dsc2,Dsc2-204
